District Code,District Name,Region Code,Region
101,KALANGALA,1,CENTRAL
102,KAMPALA,1,CENTRAL
103,KIBOGA,1,CENTRAL
104,LUWERO,1,CENTRAL
105,MASAKA,1,CENTRAL
106,MPIGI,1,CENTRAL
107,MUBENDE,1,CENTRAL
108,MUKONO,1,CENTRAL
109,NAKASONGOLA,1,CENTRAL
110,RAKAI,1,CENTRAL
111,SSEMBABULE,1,CENTRAL
112,KAYUNGA,1,CENTRAL
113,WAKISO,1,CENTRAL
114,LYANTONDE,1,CENTRAL
115,MITYANA,1,CENTRAL
116,NAKASEKE,1,CENTRAL
117,BUIKWE,1,CENTRAL
118,BUKOMANSIMBI,1,CENTRAL
119,BUTAMBALA,1,CENTRAL
120,BUVUMA,1,CENTRAL
121,GOMBA,1,CENTRAL
122,KALUNGU,1,CENTRAL
123,KYANKWANZI,1,CENTRAL
124,LWENGO,1,CENTRAL
201,BUGIRI,2,EASTERN
202,BUSIA,2,EASTERN
203,IGANGA,2,EASTERN
204,JINJA,2,EASTERN
205,KAMULI,2,EASTERN
206,KAPCHORWA,2,EASTERN
207,KATAKWI,2,EASTERN
208,KUMI,2,EASTERN
209,MBALE,2,EASTERN
211,SOROTI,2,EASTERN
212,TORORO,2,EASTERN
213,KABERAMAIDO,2,EASTERN
214,MAYUGE,2,EASTERN
215,SIRONKO,2,EASTERN
216,AMURIA,2,EASTERN
217,BUDAKA,2,EASTERN
218,BUDUDA,2,EASTERN
219,BUKEDEA,2,EASTERN
220,BUKWO,2,EASTERN
222,KALIRO,2,EASTERN
223,MANAFWA,2,EASTERN
224,NAMUTUMBA,2,EASTERN
225,BULAMBULI,2,EASTERN
226,BUYENDE,2,EASTERN
227,KIBUKU,2,EASTERN
228,KWEEN,2,EASTERN
229,LUUKA,2,EASTERN
230,NAMAYINGO,2,EASTERN
231,NGORA,2,EASTERN
232,SERERE,2,EASTERN
301,ADJUMANI,3,NORTHERN
302,APAC,3,NORTHERN
303,ARUA,3,NORTHERN
304,GULU,3,NORTHERN
305,KITGUM,3,NORTHERN
306,KOTIDO,3,NORTHERN
307,LIRA,3,NORTHERN
308,MOROTO,3,NORTHERN
309,MOYO,3,NORTHERN
310,NEBBI,3,NORTHERN
311,NAKAPIRIPIRIT,3,NORTHERN
312,PADER,3,NORTHERN
313,YUMBE,3,NORTHERN
314,ABIM,3,NORTHERN
315,AMOLATAR,3,NORTHERN
316,AMURU,3,NORTHERN
317,DOKOLO,3,NORTHERN
318,KAABONG,3,NORTHERN
319,KOBOKO,3,NORTHERN
320,MARACHA,3,NORTHERN
321,OYAM,3,NORTHERN
322,AGAGO,3,NORTHERN
323,ALEBTONG,3,NORTHERN
324,AMUDAT,3,NORTHERN
325,KOLE,3,NORTHERN
326,LAMWO,3,NORTHERN
327,NAPAK,3,NORTHERN
328,NWOYA,3,NORTHERN
329,OTUKE,3,NORTHERN
330,ZOMBO,3,NORTHERN
401,BUNDIBUGYO,4,WESTERN
402,BUSHENYI,4,WESTERN
403,HOIMA,4,WESTERN
404,KABALE,4,WESTERN
405,KABAROLE,4,WESTERN
406,KASESE,4,WESTERN
407,KIBAALE,4,WESTERN
408,KISORO,4,WESTERN
409,MASINDI,4,WESTERN
410,MBARARA,4,WESTERN
411,NTUNGAMO,4,WESTERN
412,RUKUNGIRI,4,WESTERN
413,KAMWENGE,4,WESTERN
414,KANUNGU,4,WESTERN
415,KYENJOJO,4,WESTERN
416,BULIISA,4,WESTERN
417,IBANDA,4,WESTERN
418,ISINGIRO,4,WESTERN
419,KIRUHURA,4,WESTERN
420,BUHWEJU,4,WESTERN
421,KIRYANDONGO,4,WESTERN
422,KYEGEGWA,4,WESTERN
423,MITOOMA,4,WESTERN
424,NTOROKO,4,WESTERN
425,RUBIRIZI,4,WESTERN
426,SHEEMA,4,WESTERN
